Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
forkassn3,de.hysky.skyblocker.skyblock.profileviewer.inventory,Pet,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
forkassn3,de.hysky.skyblocker.skyblock.profileviewer.dungeons,DungeonsPage,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: LOGGER
forkassn3,de.hysky.skyblocker.skyblock.item.tooltip.adders,BazaarPriceTooltip,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: bazaarExist
forkassn3,de.hysky.skyblocker.skyblock.item.tooltip.adders,LBinTooltip,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: lbinExist
forkassn3,de.hysky.skyblocker.skyblock.item.tooltip,CompactorDeletorPreview,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: NAME
forkassn3,de.hysky.skyblocker.skyblock.item.tooltip,ItemTooltip,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: config; minute
forkassn3,de.hysky.skyblocker.skyblock.item.slottext.adders,CatacombsLevelAdder.Dungeoneering,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
forkassn3,de.hysky.skyblocker.skyblock.item.slottext.adders,CatacombsLevelAdder.DungeonClasses,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
forkassn3,de.hysky.skyblocker.skyblock.item.slottext.adders,CatacombsLevelAdder.ReadyUp,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
forkassn3,de.hysky.skyblocker.skyblock.chocolatefactory,ChocolateFactorySolver.Tooltip,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
forkassn3,de.hysky.skyblocker.skyblock.chocolatefactory,EggFinder,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: entries
forkassn3,de.hysky.skyblocker.skyblock.chocolatefactory,EggFinder.EggType,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: entries
forkassn3,de.hysky.skyblocker.skyblock.experiment,ChronomatronSolver,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: TERRACOTTA_TO_GLASS
forkassn3,de.hysky.skyblocker.skyblock.experiment,UltrasequencerSolver,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: INSTANCE
forkassn3,de.hysky.skyblocker.skyblock.events,EventNotifications,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: JACOBS; DEFAULT_REMINDERS; eventIcons
