Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
forkassn3,de.hysky.skyblocker.compatibility.rei,SkyblockerREIClientPlugin,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: SKYBLOCK
forkassn3,de.hysky.skyblocker.compatibility.emi,SkyblockerEMIPlugin,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: SIMPLIFIED_TEXTURES; SKYBLOCK
forkassn3,de.hysky.skyblocker.mixins,InGameHudMixin,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
forkassn3,de.hysky.skyblocker.mixins,HandledScreenMixin,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 16
forkassn3,de.hysky.skyblocker.mixins,ClientPlayNetworkHandlerMixin,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 12
forkassn3,de.hysky.skyblocker.config,SkyblockerConfigManager,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: CONFIG_VERSION
forkassn3,de.hysky.skyblocker.config,ConfigUtils,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: FORMATTING_FORMATTER; FLOAT_TWO_FORMATTER
forkassn3,de.hysky.skyblocker.config.configs,UIAndVisualsConfig.ChestValue,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
forkassn3,de.hysky.skyblocker.config.configs,UIAndVisualsConfig.ItemCooldown,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
forkassn3,de.hysky.skyblocker.config.configs,UIAndVisualsConfig.TitleContainer,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
forkassn3,de.hysky.skyblocker.config.configs,UIAndVisualsConfig.TabHudConf,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
forkassn3,de.hysky.skyblocker.config.configs,UIAndVisualsConfig.FancyAuctionHouse,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
forkassn3,de.hysky.skyblocker.config.configs,UIAndVisualsConfig.Bars,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
forkassn3,de.hysky.skyblocker.config.configs,UIAndVisualsConfig.OldBarPositions,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
forkassn3,de.hysky.skyblocker.config.configs,UIAndVisualsConfig.Waypoints,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
forkassn3,de.hysky.skyblocker.config.configs,UIAndVisualsConfig.TeleportOverlay,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
forkassn3,de.hysky.skyblocker.config.configs,UIAndVisualsConfig.SearchOverlay,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
forkassn3,de.hysky.skyblocker.config.configs,UIAndVisualsConfig.InputCalculator,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
forkassn3,de.hysky.skyblocker.config.configs,UIAndVisualsConfig.FlameOverlay,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
